X, Y, Z, Min, Max, Ave, Sigma
0,0, 0, -18.5, 12.8, -1.3, 7.787, 
0,0, 1, -23.7, 10.9, -1.1, 7.918, 
0,0, 2, -23.4, 11.7, -1.8, 8.466, 
0,0, 3, -24.6, 9.7, -2.4, 8.850, 
0,0, 4, -19.4, 9.6, -1.8, 7.245, 
0,0, 5, -24.9, 8.8, -2.1, 8.044, 
0,0, 6, -21.1, 17.1, -0.7, 8.550, 
0,0, 7, -24.9, 10.2, -1.7, 8.242, 
0,0, 8, -20.8, 17.4, -0.9, 8.057, 
0,0, 9, -23.8, 10.1, -2.1, 8.908, 
0,0, 10, -18.7, 12.7, -1.1, 8.043, 
0,0, 11, -24.5, 10.5, -2.5, 9.072, 
0,0, 12, -19.9, 11.9, -1.3, 7.380, 
0,0, 13, -22.4, 8.7, -2.1, 7.172, 
0,0, 14, -20.8, 12.5, -1.2, 9.187, 
0,0, 15, -29.5, 24.9, -1.5, 9.552, 
0,0, 16, -19.9, 10.9, -1.8, 7.765, 
0,0, 17, -24.6, 13.7, -1.9, 8.467, 
0,0, 18, -19.3, 11.4, -1.3, 7.678, 
0,0, 19, -25.0, 9.7, -2.3, 8.907, 
0,0, 20, -19.7, 11.6, -1.1, 8.081, 
0,0, 21, -24.3, 10.3, -2.4, 8.162, 
0,0, 22, -17.9, 10.5, -1.9, 7.098, 
0,0, 23, -24.7, 10.7, -2.0, 8.428, 
0,0, 24, -18.0, 9.8, -1.6, 7.065, 
0,0, 25, -25.3, 8.5, -3.5, 9.245, 
0,0, 26, -18.4, 11.1, -1.4, 7.637, 
0,0, 27, -18.5, 10.6, -1.6, 7.512, 
0,0, 28, -18.0, 11.2, -1.5, 7.566, 
0,0, 29, -23.7, 10.5, -2.6, 8.260, 
0,0, 30, -19.6, 9.8, -1.8, 7.634, 
0,0, 31, -24.6, 10.0, -1.6, 7.685, 
0,0, 32, -19.1, 11.5, -1.5, 7.958, 
0,0, 33, -23.8, 9.7, -1.9, 7.948, 
0,0, 34, -20.2, 10.1, -1.5, 7.228, 
0,0, 35, -23.8, 9.6, -2.9, 8.638, 
0,0, 36, -18.8, 9.3, -2.2, 7.021, 
0,0, 37, -24.5, 9.3, -2.0, 7.840, 
0,0, 38, -20.5, 11.5, -1.4, 7.856, 
0,0, 39, -25.3, 8.5, -2.9, 8.204, 
0,0, 40, -18.8, 10.2, -1.3, 7.310, 
0,0, 41, -21.9, 10.4, -2.6, 8.672, 
0,0, 42, -19.1, 11.3, -1.4, 7.376, 
0,0, 43, -23.3, 10.2, -1.2, 7.630, 
0,0, 44, -18.4, 15.5, -1.3, 8.480, 
0,0, 45, -28.4, 9.5, -3.1, 7.621, 
0,0, 46, -21.0, 11.8, -1.3, 8.114, 
0,0, 47, -21.4, 13.8, -0.7, 7.726, 
0,0, 48, -19.3, 8.9, -2.1, 6.968, 
0,0, 49, -23.2, 13.3, -1.7, 8.391, 
0,0, 50, -21.0, 7.5, -2.3, 6.693, 
0,0, 51, -25.8, 8.3, -2.5, 8.086, 
0,0, 52, -20.4, 10.7, -1.5, 8.026, 
0,0, 53, -21.7, 9.1, -1.5, 7.282, 
0,0, 54, -19.9, 12.1, -0.9, 7.833, 
0,0, 55, -26.2, 9.1, -2.8, 7.987, 
0,0, 56, -20.2, 12.6, -0.8, 7.580, 
0,0, 57, -24.7, 8.7, -2.4, 8.312, 
0,0, 58, -21.3, 11.0, -1.1, 7.915, 
0,0, 59, -24.3, 11.0, -1.9, 7.798, 
0,0, 60, -16.5, 11.5, -1.1, 7.198, 
0,0, 61, -25.2, 11.6, -2.5, 7.937, 
0,0, 62, -17.3, 15.8, -1.0, 7.099, 
0,0, 63, -26.1, 13.5, -1.7, 8.263, 
0,0, 64, -22.5, 12.3, -1.5, 7.648, 
0,0, 65, -24.0, 11.0, -1.6, 8.318, 
0,0, 66, -18.3, 8.5, -1.5, 7.130, 
0,0, 67, -25.7, 8.5, -2.1, 7.900, 
0,0, 68, -21.3, 10.8, -1.7, 7.921, 
